"","Nome","Ultimo","Maxima","Minima","Variacao","Var_pct","Volume_MM"
"16","Cielo ON",2.83,2.89,2.68,0.31,12.3,135.57
"46","MRV ON",12.79,13.1,12.47,0.34,2.73,8.81
"4","Banco do Brasil ON",36.05,36.23,35.38,0.72,2.04,21.09
"28","EDP Brasil ON",21.5,22.04,21.23,0.4,1.9,4.57
"76","Carrefour ON",17.4,17.55,17.05,0.29,1.69,3.95
"37","Hypera",32.61,32.79,32.09,0.48,1.49,2.25
"42","Lojas Renner ON",27.6,27.72,26.96,0.37,1.36,9.45
"55","Sabesp ON",37.84,38.63,37.22,0.4,1.07,2.97
"29","Equatorial ON",24.97,25.21,24.74,0.23,0.93,4.61
"60","TAEE UNIT",37.7,38.23,37.67,0.34,0.91,3.7
"54","Santander Brasil Unit",32.11,32.18,31.68,0.28,0.88,2.05
"30","YDUQS Participacoes",22.18,22.48,21.9,0.17,0.77,1.41
"50","Petrobras PN",33,33.09,32.27,0.2,0.61,58.65
"68","Raia Drogasil ON",23.7,24.03,23.62,0.14,0.59,4.3
"6","Bradesco PN ",21.31,21.46,21.21,0.12,0.57,30.15
"72","Energisa Unit",43.83,44.11,43.32,0.24,0.55,2.1
"12","BR Malls Par ON",9.72,9.91,9.65,0.05,0.52,11.36
"14","B3 ON",14.27,14.71,14.25,0.07,0.49,36.68
"38","Itausa PN",10.52,10.58,10.47,0.05,0.48,22.16
"5","Bradesco ON",17.91,18.01,17.81,0.08,0.45,6.47
"47","Multiplan ON",22.26,22.46,22.09,0.09,0.41,4.11
"17","CEMIG PN Pref",13.02,13.14,12.92,0.05,0.39,6.91
"9","Bradespar PN",29.05,29.45,28.99,0.11,0.38,3.68
"39","Itau Unibanco PN",26.17,26.55,26.06,0.1,0.38,26.37
"63","Vale ON",85.83,87.03,85.43,0.18,0.21,22.5
"22","Cyrela Realt ON",16.24,16.58,16.15,0.02,0.12,5.21
"18","CPFL Energia ON",29.77,29.93,29.51,0.03,0.1,1.35
"31","Eztec ON",18.91,19.31,18.74,0.01,0.05,2.67
"69","BB Seguridade ON",23.18,23.35,23.15,0.01,0.04,3.05
"71","Klabin Unit",23.19,23.49,22.96,-0.01,-0.04,4.43
"75","Azul PN",28.75,29.4,28.35,-0.03,-0.1,5.6
"7","Minerva ON",9.88,9.99,9.81,-0.02,-0.2,3.07
"51","Positivo Inf ON",9.28,9.55,9.28,-0.02,-0.22,2.21
"15","CCR ON",12.89,13.07,12.89,-0.03,-0.23,5.88
"88","Rede D'Or ON",50.03,50.37,49.69,-0.13,-0.26,3.17
"57","Engie Brasil ON",40.44,40.79,40.4,-0.13,-0.32,1.36
"74","BTG Pactual Unit",25.21,26.07,25.03,-0.08,-0.32,10.32
"35","Gol PN",18.93,19.33,18.72,-0.07,-0.37,6.03
"19","COPEL Pref B",7.22,7.32,7.2,-0.03,-0.41,9.6
"66","Cogna Educacao",2.41,2.5,2.4,-0.01,-0.41,29.12
"64","Telefonica Brasil ON",49.51,49.87,49.16,-0.24,-0.48,1.39
"26","Eletrobras PNB",34.32,34.86,34.27,-0.17,-0.49,1.85
"3","Ambev ON",14.77,14.99,14.74,-0.08,-0.54,11.72
"84","Grupo Soma ON",12.83,13.07,12.77,-0.08,-0.62,2.45
"49","Petrobras ON",35.87,36.18,35.36,-0.23,-0.64,14.03
"41","JHSF Part ON",5.9,6.01,5.88,-0.04,-0.67,2.35
"10","BRF ON",18.82,19.1,18.82,-0.13,-0.69,6.73
"62","Usiminas PNA",14.75,15.09,14.7,-0.11,-0.74,15.06
"67","Companhia de Locacao das Americas",25.99,26.56,25.82,-0.21,-0.8,1.57
"79","Vibra Energia",23.94,24.3,23.8,-0.2,-0.83,4.46
"82","Pão de Açúcar CBD ON",21.15,21.56,21.07,-0.19,-0.89,1.84
"27","Embraer ON",19.16,19.57,18.99,-0.18,-0.93,6.46
"91","Iguatemi Unt",19.9,20.1,19.67,-0.2,-1,1.73
"52","Qualicorp ON",17.25,17.75,17.15,-0.19,-1.09,2.76
"56","Sul America Unit",25.75,26.35,25.45,-0.31,-1.19,1.92
"59","Totvs ON",31.82,32.64,31.31,-0.4,-1.24,4.67
"89","CSN Mineração ON",6.3,6.49,6.29,-0.08,-1.25,4.41
"21","CSN ON",24.64,25.36,24.56,-0.32,-1.28,10.29
"86","Méliuz ON",2.73,2.82,2.71,-0.04,-1.44,23.48
"11","Braskem PN",50.03,51.19,50,-0.74,-1.46,1.82
"2","Alpargatas PN",26.4,27.24,26.4,-0.4,-1.49,1.95
"78","Suzano Papel ON",57.04,59.47,56.82,-0.87,-1.5,5.79
"25","Eletrobras ON",34.65,35.55,34.57,-0.53,-1.51,3.62
"34","Met. Gerdau PN",10.53,10.83,10.53,-0.17,-1.59,8.37
